"Compound","Dose","Cell line","DepMap ID","Culture","Pool","Vehicle","log2 fold-change","Viability"
"AZ-628","3.333","NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000076","PR300","P953.PRN.2","DMSO","-3.41","0.0943"
"AZ-628","1.111","DU4475_BREAST","ACH-000258","PR300","P952.PRN.2","DMSO","-3.39","0.0956"
"AZ-628","10.0","HT144_SKIN","ACH-000322","PR500","P111","DMSO","-3.38","0.0961"
"AZ-628","3.333","DU4475_BREAST","ACH-000258","PR300","P952.PRN.2","DMSO","-3.36","0.0977"
"AZ-628","0.3704","OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000113","PR300","P951.PRN.2","DMSO","-3.35","0.0979"
"AZ-628","3.333","SH4_SKIN","ACH-000441","PR500","P111","DMSO","-3.35","0.0982"
"AZ-628","10.0","CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000920","PR300","P952.PRN.2","DMSO","-3.34","0.0988"
"AZ-628","10.0","HPAFII_PANCREAS","ACH-000094","PR300","P949.PRN3","DMSO","-3.33","0.0993"
"AZ-628","10.0","COLO800_SKIN","ACH-000401","PR500","P117","DMSO","-3.33","0.0997"
"AZ-628","10.0","MOLM14_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001574","PR300","P954.PRN.2","DMSO","-3.32","0.10"
"AZ-628","3.333","MELHO_SKIN","ACH-000450","PR500","P110","DMSO","-3.32","0.10"
"AZ-628","3.333","SKMEL30_SKIN","ACH-000810","PR500","P114","DMSO","-3.32","0.10"
"AZ-628","10.0","RL952_ENDOMETRIUM","ACH-000965","PR500","P103","DMSO","-3.31","0.101"
"AZ-628","1.111","WM88_SKIN","ACH-000899","PR500","P117","DMSO","-3.29","0.102"
"AZ-628","10.0","ONS76_CENTRAL_NERVOUS_SYSTEM","ACH-000776","PR500","P104","DMSO","-3.28","0.103"
"AZ-628","10.0","RT112_URINARY_TRACT","ACH-000473","PR500","P112","DMSO","-3.26","0.104"
"AZ-628","3.333","SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001656","PR300","P954.PRN.2","DMSO","-3.27","0.104"
"AZ-628","3.333","EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000198","PR300","P955.PRN.2","DMSO","-3.26","0.104"
"AZ-628","3.333","LOXIMVI_SKIN","ACH-000750","PR500","P104","DMSO","-3.24","0.106"
"AZ-628","1.111","SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001656","PR300","P954.PRN.2","DMSO","-3.23","0.107"
"AZ-628","3.333","IPC298_SKIN","ACH-000915","PR500","P118","DMSO","-3.22","0.107"
"AZ-628","10.0","NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000076","PR300","P953.PRN.2","DMSO","-3.20","0.108"
"AZ-628","10.0","BICR6_UPPER_AERODIGESTIVE_TRACT","ACH-000415","PR500","P119","DMSO","-3.19","0.109"
"AZ-628","10.0","A427_LUNG","ACH-000757","PR300","P947.PRN3","DMSO","-3.20","0.109"
"AZ-628","10.0","KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000604","PR300","P950.PRN.2","DMSO","-3.17","0.111"
"AZ-628","10.0","JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000326","PR300","P951.PRN.2","DMSO","-3.14","0.113"
"AZ-628","0.3704","LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000301","PR300","P950.PRN.2","DMSO","-3.15","0.113"
"AZ-628","10.0","MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000362","PR300","P950.PRN.2","DMSO","-3.13","0.114"
"AZ-628","0.3704","WM88_SKIN","ACH-000899","PR500","P117","DMSO","-3.14","0.114"
"AZ-628","1.111","MELHO_SKIN","ACH-000450","PR500","P110","DMSO","-3.12","0.115"
"AZ-628","10.0","MALME3M_SKIN","ACH-000477","PR500","P120","DMSO","-3.11","0.116"
"AZ-628","10.0","C32_SKIN","ACH-000580","PR300","P948.PRN3","DMSO","-3.11","0.116"
"AZ-628","0.3704","LOXIMVI_SKIN","ACH-000750","PR500","P104","DMSO","-3.11","0.116"
"AZ-628","3.333","KU1919_URINARY_TRACT","ACH-000486","PR500","P104","DMSO","-3.09","0.117"
"AZ-628","3.333","RT112_URINARY_TRACT","ACH-000473","PR500","P112","DMSO","-3.09","0.117"
"AZ-628","10.0","OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000065","PR300","P950.PRN.2","DMSO","-3.07","0.119"
"AZ-628","10.0","CL34_LARGE_INTESTINE","ACH-000895","PR500","P115","DMSO","-3.03","0.122"
"AZ-628","3.333","HEYA8_OVARY","ACH-000542","PR500","P101","DMSO","-3.04","0.122"
"AZ-628","10.0","UACC62_SKIN","ACH-000425","PR500","P120","DMSO","-3.02","0.123"
"AZ-628","10.0","K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000551","PR300","P951.PRN.2","DMSO","-3.02","0.123"
"AZ-628","1.111","BICR78_UPPER_AERODIGESTIVE_TRACT","ACH-001332","PR300","P123","DMSO","-3.03","0.123"
"AZ-628","1.111","G402_SOFT_TISSUE","ACH-000375","PR300","P946.PRN3","DMSO","-3.01","0.124"
"AZ-628","3.333","COLO679_SKIN","ACH-000805","PR500","P108","DMSO","-3.01","0.124"
"AZ-628","3.333","COLO800_SKIN","ACH-000401","PR500","P117","DMSO","-3.01","0.124"
"AZ-628","10.0","SUM149PT_BREAST","ACH-001390","PR300","P124","DMSO","-3.00","0.125"
"AZ-628","10.0","SKNBE2_AUTONOMIC_GANGLIA","ACH-000312","PR500","P106","DMSO","-2.98","0.127"
"AZ-628","0.3704","COLO679_SKIN","ACH-000805","PR500","P108","DMSO","-2.97","0.128"
"AZ-628","10.0","MKN45_STOMACH","ACH-000356","PR500","P113","DMSO","-2.95","0.129"
"AZ-628","3.333","T3M5_THYROID","ACH-002042","PR300","P125","DMSO","-2.95","0.129"
"AZ-628","10.0","HUPT4_PANCREAS","ACH-000213","PR300","P948.PRN3","DMSO","-2.91","0.133"
"AZ-628","0.3704","DU4475_BREAST","ACH-000258","PR300","P952.PRN.2","DMSO","-2.91","0.133"
"AZ-628","1.111","COLO679_SKIN","ACH-000805","PR500","P108","DMSO","-2.89","0.135"
"AZ-628","10.0","CAL29_URINARY_TRACT","ACH-000142","PR500","P107","DMSO","-2.86","0.137"
"AZ-628","10.0","KATOIII_STOMACH","ACH-000793","PR300","P956.PRN.2","DMSO","-2.86","0.138"
"AZ-628","10.0","TE617T_SOFT_TISSUE","ACH-000051","PR300","P945.PRN3","DMSO","-2.85","0.139"
"AZ-628","1.111","HEYA8_OVARY","ACH-000542","PR500","P101","DMSO","-2.84","0.139"
"AZ-628","10.0","HSC1_SKIN","ACH-001523","PR300","P124","DMSO","-2.83","0.14"
"AZ-628","10.0","TGBC52TKB_BILIARY_TRACT","ACH-001862","PR300","P126","DMSO","-2.84","0.14"
"AZ-628","0.3704","MELHO_SKIN","ACH-000450","PR500","P110","DMSO","-2.83","0.14"
"AZ-628","10.0","G402_SOFT_TISSUE","ACH-000375","PR300","P946.PRN3","DMSO","-2.82","0.142"
"AZ-628","3.333","UACC62_SKIN","ACH-000425","PR500","P120","DMSO","-2.82","0.142"
"AZ-628","3.333","KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000983","PR300","P953.PRN.2","DMSO","-2.82","0.142"
"AZ-628","1.111","EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000198","PR300","P955.PRN.2","DMSO","-2.81","0.143"
"AZ-628","1.111","MALME3M_SKIN","ACH-000477","PR500","P120","DMSO","-2.79","0.144"
"AZ-628","1.111","NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000076","PR300","P953.PRN.2","DMSO","-2.80","0.144"
"AZ-628","3.333","HT144_SKIN","ACH-000322","PR500","P111","DMSO","-2.76","0.148"
"AZ-628","3.333","MON_SOFT_TISSUE","ACH-001128","PR300","P944.PRN3","DMSO","-2.76","0.148"
"AZ-628","10.0","MELJUSO_SKIN","ACH-000881","PR500","P112","DMSO","-2.75","0.149"
"AZ-628","10.0","YD10B_UPPER_AERODIGESTIVE_TRACT","ACH-000723","PR500","P101","DMSO","-2.74","0.15"
"AZ-628","10.0","KKU213_BILIARY_TRACT","ACH-001538","PR300","P122","DMSO","-2.73","0.15"
"AZ-628","10.0","SKGT4_OESOPHAGUS","ACH-001654","PR300","P123","DMSO","-2.73","0.151"
"AZ-628","1.111","ICC12_BILIARY_TRACT","ACH-001838","PR300","P125","DMSO","-2.73","0.151"
"AZ-628","10.0","A1207_CENTRAL_NERVOUS_SYSTEM","ACH-000283","PR300","P947.PRN3","DMSO","-2.72","0.152"
"AZ-628","1.111","SKMEL30_SKIN","ACH-000810","PR500","P114","DMSO","-2.72","0.152"
"AZ-628","10.0","G402_SOFT_TISSUE","ACH-000375","PR500","P103","DMSO","-2.71","0.153"
"AZ-628","10.0","KYSE510_OESOPHAGUS","ACH-000824","PR500","P107","DMSO","-2.71","0.153"
"AZ-628","10.0","SNU899_UPPER_AERODIGESTIVE_TRACT","ACH-000692","PR300","P948.PRN3","DMSO","-2.71","0.153"
"AZ-628","3.333","G402_SOFT_TISSUE","ACH-000375","PR500","P103","DMSO","-2.71","0.153"
"AZ-628","3.333","KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000604","PR300","P950.PRN.2","DMSO","-2.70","0.154"
"AZ-628","3.333","JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000326","PR300","P951.PRN.2","DMSO","-2.70","0.154"
"AZ-628","10.0","KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000983","PR300","P953.PRN.2","DMSO","-2.69","0.155"
"AZ-628","1.111","C32_SKIN","ACH-000580","PR300","P948.PRN3","DMSO","-2.69","0.155"
"AZ-628","3.333","SW579_THYROID","ACH-000163","PR500","P112","DMSO","-2.68","0.156"
"AZ-628","3.333","ONS76_CENTRAL_NERVOUS_SYSTEM","ACH-000776","PR300","P945.PRN3","DMSO","-2.68","0.156"
"AZ-628","0.3704","SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001656","PR300","P954.PRN.2","DMSO","-2.67","0.157"
"AZ-628","1.111","BHT101_THYROID","ACH-000191","PR500","P103","DMSO","-2.66","0.158"
"AZ-628","0.1235","LOXIMVI_SKIN","ACH-000750","PR500","P104","DMSO","-2.67","0.158"
"AZ-628","0.3704","PSN1_PANCREAS","ACH-000320","PR500","P105","DMSO","-2.66","0.158"
"AZ-628","10.0","MELHO_SKIN","ACH-000450","PR500","P110","DMSO","-2.65","0.16"
"AZ-628","1.111","LOXIMVI_SKIN","ACH-000750","PR500","P104","DMSO","-2.64","0.16"
"AZ-628","10.0","KNS62_LUNG","ACH-000858","PR500","P109","DMSO","-2.64","0.161"
"AZ-628","10.0","H157_UPPER_AERODIGESTIVE_TRACT","ACH-001347","PR300","P121","DMSO","-2.63","0.161"
"AZ-628","10.0","MCC142_SKIN","ACH-001551","PR300","P122","DMSO","-2.62","0.162"
"AZ-628","3.333","A427_LUNG","ACH-000757","PR300","P947.PRN3","DMSO","-2.62","0.162"
"AZ-628","1.111","NCIH2347_LUNG","ACH-000875","PR500","P119","DMSO","-2.61","0.163"
"AZ-628","10.0","LS513_LARGE_INTESTINE","ACH-000007","PR500","P103","DMSO","-2.61","0.164"
"AZ-628","3.333","SG231_BILIARY_TRACT","ACH-001857","PR300","P122","DMSO","-2.61","0.164"
"AZ-628","0.1235","DU4475_BREAST","ACH-000258","PR300","P952.PRN.2","DMSO","-2.61","0.164"
"AZ-628","3.333","BHT101_THYROID","ACH-000191","PR500","P103","DMSO","-2.60","0.165"
"AZ-628","3.333","G402_SOFT_TISSUE","ACH-000375","PR300","P946.PRN3","DMSO","-2.59","0.166"
"AZ-628","10.0","HEYA8_OVARY","ACH-000542","PR500","P101","DMSO","-2.59","0.167"
"AZ-628","0.1235","WM88_SKIN","ACH-000899","PR500","P117","DMSO","-2.56","0.17"
"AZ-628","3.333","OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000065","PR300","P950.PRN.2","DMSO","-2.55","0.171"
"AZ-628","10.0","LOXIMVI_SKIN","ACH-000750","PR500","P104","DMSO","-2.54","0.172"
"AZ-628","10.0","921_UVEA","ACH-001441","PR300","P124","DMSO","-2.53","0.173"
"AZ-628","1.111","A375_SKIN","ACH-000219","PR500","P102","DMSO","-2.53","0.173"
"AZ-628","3.333","IGR37_SKIN","ACH-000650","PR500","P102","DMSO","-2.52","0.174"
"AZ-628","10.0","BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000432","PR300","P953.PRN.2","DMSO","-2.51","0.176"
"AZ-628","10.0","ACHN_KIDNEY","ACH-000046","PR500","P110","DMSO","-2.50","0.177"
"AZ-628","3.333","CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000920","PR300","P952.PRN.2","DMSO","-2.50","0.177"
"AZ-628","0.3704","HT144_SKIN","ACH-000322","PR500","P111","DMSO","-2.49","0.178"
"AZ-628","10.0","IGR37_SKIN","ACH-000650","PR500","P102","DMSO","-2.48","0.179"
"AZ-628","1.111","UACC62_SKIN","ACH-000425","PR500","P120","DMSO","-2.48","0.179"
"AZ-628","3.333","JHUEM7_ENDOMETRIUM","ACH-000993","PR300","P956.PRN.2","DMSO","-2.48","0.179"
"AZ-628","10.0","PMFKO14_LARGE_INTESTINE","ACH-002022","PR300","P126","DMSO","-2.47","0.18"
"AZ-628","3.333","CL34_LARGE_INTESTINE","ACH-000895","PR500","P115","DMSO","-2.48","0.18"
"AZ-628","10.0","NCIH747_LARGE_INTESTINE","ACH-000403","PR500","P118","DMSO","-2.47","0.181"
"AZ-628","1.111","8505C_THYROID","ACH-001307","PR500","P107","DMSO","-2.46","0.181"
"AZ-628","10.0","KD_SOFT_TISSUE","ACH-001099","PR300","P944.PRN3","DMSO","-2.46","0.182"
"AZ-628","3.333","CHLA200_CENTRAL_NERVOUS_SYSTEM","ACH-001293","PR300","P124","DMSO","-2.46","0.182"
"AZ-628","0.3704","8505C_THYROID","ACH-001307","PR500","P107","DMSO","-2.45","0.182"
"AZ-628","10.0","CHLA200_CENTRAL_NERVOUS_SYSTEM","ACH-001293","PR300","P124","DMSO","-2.45","0.183"
"AZ-628","0.1235","OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000113","PR300","P951.PRN.2","DMSO","-2.45","0.183"
"AZ-628","3.333","UMUC6_URINARY_TRACT","ACH-001414","PR300","P121","DMSO","-2.44","0.184"
"AZ-628","10.0","CAL27_UPPER_AERODIGESTIVE_TRACT","ACH-000832","PR500","P105","DMSO","-2.43","0.185"
"AZ-628","10.0","H357_UPPER_AERODIGESTIVE_TRACT","ACH-001509","PR300","P125","DMSO","-2.43","0.185"
"AZ-628","10.0","PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT","ACH-000732","PR500","P106","DMSO","-2.43","0.186"
"AZ-628","10.0","A253_SALIVARY_GLAND","ACH-000740","PR300","P946.PRN3","DMSO","-2.43","0.186"
"AZ-628","0.3704","MALME3M_SKIN","ACH-000477","PR500","P120","DMSO","-2.43","0.186"
"AZ-628","10.0","KMBC2_URINARY_TRACT","ACH-000862","PR500","P104","DMSO","-2.41","0.188"
"AZ-628","10.0","MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000072","PR300","P951.PRN.2","DMSO","-2.40","0.189"
"AZ-628","1.111","SH4_SKIN","ACH-000441","PR500","P111","DMSO","-2.41","0.189"
"AZ-628","3.333","A1207_CENTRAL_NERVOUS_SYSTEM","ACH-000283","PR300","P947.PRN3","DMSO","-2.40","0.189"
"AZ-628","3.333","LUDLU1_LUNG","ACH-000390","PR500","P106","DMSO","-2.40","0.19"
"AZ-628","3.333","RKN_SOFT_TISSUE","ACH-000505","PR500","P109","DMSO","-2.40","0.19"
"AZ-628","0.3704","C32_SKIN","ACH-000580","PR300","P948.PRN3","DMSO","-2.39","0.191"
"AZ-628","10.0","NCIH2347_LUNG","ACH-000875","PR500","P119","DMSO","-2.38","0.192"
"AZ-628","0.3704","DBTRG05MG_CENTRAL_NERVOUS_SYSTEM","ACH-000863","PR500","P106","DMSO","-2.38","0.193"
"AZ-628","10.0","RVH421_SKIN","ACH-000614","PR500","P114","DMSO","-2.37","0.194"
"AZ-628","10.0","LS1034_LARGE_INTESTINE","ACH-000252","PR500","P119","DMSO","-2.36","0.194"
"AZ-628","10.0","HMC18_BREAST","ACH-000721","PR500","P101","DMSO","-2.35","0.196"
"AZ-628","10.0","SNU1214_UPPER_AERODIGESTIVE_TRACT","ACH-000715","PR500","P120","DMSO","-2.35","0.196"
"AZ-628","0.3704","EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000198","PR300","P955.PRN.2","DMSO","-2.35","0.196"
"AZ-628","10.0","ICC137_BILIARY_TRACT","ACH-001839","PR300","P126","DMSO","-2.33","0.198"
"AZ-628","1.111","A1207_CENTRAL_NERVOUS_SYSTEM","ACH-000283","PR300","P947.PRN3","DMSO","-2.33","0.198"
"AZ-628","3.333","SNU245_BILIARY_TRACT","ACH-000268","PR500","P106","DMSO","-2.33","0.199"
"AZ-628","3.333","SKGT4_OESOPHAGUS","ACH-001654","PR300","P123","DMSO","-2.32","0.20"
"AZ-628","10.0","TM87_SOFT_TISSUE","ACH-000172","PR500","P116","DMSO","-2.31","0.202"
"AZ-628","3.333","YD38_UPPER_AERODIGESTIVE_TRACT","ACH-000762","PR500","P102","DMSO","-2.31","0.202"
"AZ-628","3.333","KP2_PANCREAS","ACH-000281","PR500","P109","DMSO","-2.31","0.202"
"AZ-628","10.0","SNU1076_UPPER_AERODIGESTIVE_TRACT","ACH-000549","PR500","P102","DMSO","-2.29","0.204"
"AZ-628","10.0","SW579_THYROID","ACH-000163","PR500","P112","DMSO","-2.29","0.204"
"AZ-628","10.0","GSU_STOMACH","ACH-000485","PR300","P948.PRN3","DMSO","-2.29","0.204"
"AZ-628","0.3704","IGR37_SKIN","ACH-000650","PR500","P102","DMSO","-2.30","0.204"
"AZ-628","1.111","KU1919_URINARY_TRACT","ACH-000486","PR500","P104","DMSO","-2.29","0.205"
"AZ-628","0.1235","HT144_SKIN","ACH-000322","PR500","P111","DMSO","-2.28","0.205"
"AZ-628","10.0","RKN_SOFT_TISSUE","ACH-000505","PR500","P109","DMSO","-2.28","0.206"
"AZ-628","3.333","PMFKO14_LARGE_INTESTINE","ACH-002022","PR300","P126","DMSO","-2.28","0.207"
"AZ-628","10.0","JHH5_LIVER","ACH-000734","PR500","P109","DMSO","-2.27","0.208"
"AZ-628","10.0","RD_SOFT_TISSUE","ACH-000169","PR500","P115","DMSO","-2.27","0.208"
"AZ-628","10.0","SG231_BILIARY_TRACT","ACH-001857","PR300","P122","DMSO","-2.26","0.208"
"AZ-628","3.333","ONS76_CENTRAL_NERVOUS_SYSTEM","ACH-000776","PR500","P104","DMSO","-2.26","0.209"
"AZ-628","3.333","DBTRG05MG_CENTRAL_NERVOUS_SYSTEM","ACH-000863","PR500","P106","DMSO","-2.26","0.209"
"AZ-628","0.3704","SW579_THYROID","ACH-000163","PR500","P112","DMSO","-2.25","0.21"
"AZ-628","3.333","KATOIII_STOMACH","ACH-000793","PR300","P956.PRN.2","DMSO","-2.25","0.211"
"AZ-628","10.0","WM2664_SKIN","ACH-001239","PR500","P111","DMSO","-2.23","0.213"
"AZ-628","10.0","JHH7_LIVER","ACH-000848","PR500","P118","DMSO","-2.23","0.213"
"AZ-628","10.0","NCIH2087_LUNG","ACH-000841","PR500","P115","DMSO","-2.21","0.215"
"AZ-628","1.111","COLO800_SKIN","ACH-000401","PR500","P117","DMSO","-2.22","0.215"
"AZ-628","10.0","HS294T_SKIN","ACH-000014","PR500","P110","DMSO","-2.21","0.216"
"AZ-628","10.0","TM87_SOFT_TISSUE","ACH-000172","PR300","P944.PRN3","DMSO","-2.21","0.216"
"AZ-628","10.0","JHUEM7_ENDOMETRIUM","ACH-000993","PR300","P956.PRN.2","DMSO","-2.21","0.216"
"AZ-628","10.0","COLO792_SKIN","ACH-000968","PR500","P115","DMSO","-2.20","0.217"
"AZ-628","1.111","CL34_LARGE_INTESTINE","ACH-000895","PR500","P115","DMSO","-2.20","0.217"
"AZ-628","10.0","HUCCT1_BILIARY_TRACT","ACH-000976","PR500","P113","DMSO","-2.20","0.218"
"AZ-628","0.3704","CHLA200_CENTRAL_NERVOUS_SYSTEM","ACH-001293","PR300","P124","DMSO","-2.20","0.218"
"AZ-628","3.333","697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000070","PR300","P952.PRN.2","DMSO","-2.19","0.219"
"AZ-628","3.333","HS766T_PANCREAS","ACH-000178","PR500","P108","DMSO","-2.19","0.22"
"AZ-628","3.333","NCIH2347_LUNG","ACH-000875","PR500","P119","DMSO","-2.18","0.221"
"AZ-628","0.1235","SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-001656","PR300","P954.PRN.2","DMSO","-2.18","0.221"
"AZ-628","1.111","TE617T_SOFT_TISSUE","ACH-000051","PR300","P945.PRN3","DMSO","-2.17","0.222"
"AZ-628","3.333","RD_SOFT_TISSUE","ACH-000169","PR500","P115","DMSO","-2.17","0.223"
"AZ-628","10.0","SKMEL2_SKIN","ACH-001190","PR500","P119","DMSO","-2.16","0.224"
"AZ-628","10.0","SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000664","PR300","P953.PRN.2","DMSO","-2.16","0.224"
"AZ-628","3.333","GCT27_TESTIS","ACH-001502","PR300","P122","DMSO","-2.16","0.224"
"AZ-628","3.333","BT16_SOFT_TISSUE","ACH-001020","PR300","P946.PRN3","DMSO","-2.16","0.224"
"AZ-628","0.3704","SKMEL30_SKIN","ACH-000810","PR500","P114","DMSO","-2.16","0.224"
"AZ-628","3.333","HEP3B217_LIVER","ACH-000625","PR500","P113","DMSO","-2.15","0.225"
"AZ-628","1.111","CHLA200_CENTRAL_NERVOUS_SYSTEM","ACH-001293","PR300","P124","DMSO","-2.15","0.226"
"AZ-628","3.333","KON_UPPER_AERODIGESTIVE_TRACT","ACH-001542","PR300","P122","DMSO","-2.15","0.226"
"AZ-628","3.333","RVH421_SKIN","ACH-000614","PR500","P114","DMSO","-2.14","0.227"
"AZ-628","10.0","UPCISCC116_UPPER_AERODIGESTIVE_TRACT","ACH-001698","PR300","P123","DMSO","-2.13","0.228"
"AZ-628","3.333","SKMEL28_SKIN","ACH-000615","PR300","P947.PRN3","DMSO","-2.12","0.229"
"AZ-628","3.333","MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000072","PR300","P951.PRN.2","DMSO","-2.13","0.229"
"AZ-628","10.0","TE6_OESOPHAGUS","ACH-000605","PR500","P115","DMSO","-2.12","0.23"
"AZ-628","10.0","CCSW1_BILIARY_TRACT","ACH-001960","PR300","P122","DMSO","-2.12","0.23"
"AZ-628","10.0","BHT101_THYROID","ACH-000191","PR500","P103","DMSO","-2.12","0.231"
"AZ-628","10.0","K029AX_SKIN","ACH-000404","PR500","P112","DMSO","-2.10","0.233"
"AZ-628","10.0","GIMEN_AUTONOMIC_GANGLIA","ACH-001344","PR300","P121","DMSO","-2.10","0.233"
"AZ-628","1.111","HT144_SKIN","ACH-000322","PR500","P111","DMSO","-2.10","0.233"
"AZ-628","10.0","CL11_LARGE_INTESTINE","ACH-000249","PR300","P948.PRN3","DMSO","-2.09","0.235"
