Title,Author,Link,Poster Link,Presentation Link,Year,Conference,Featured
"Accelerating the development of biologics: PRISM high throughput screening enables rapid preclinical characterization of antibodies, ADCs and payloads",Eskra J,https://aacrjournals.org/cancerres/article/85/8_Supplement_1/5459/760199/Abstract-5459-Accelerating-the-development-of,https://assets.clue.io/aacr/posters/2025_AACR/2025_AACR_ADCs_Poster.pdf,,2025,AACR,
Dependency-agnostic drug discovery: A dual-screening strategy to uncover novel cancer vulnerabilities,,https://aacrjournals.org/cancerres/article/85/8_Supplement_1/3169/757114/Abstract-3169-Dependency-agnostic-drug-discovery-A,,,2025,AACR,
"Activity of the novel KIF18A inhibitor, ATX-295, is enriched in whole genome doubled ovarian cancer pre-clinical models",,https://aacrjournals.org/cancerres/article/85/8_Supplement_1/3784/761181/Abstract-3784-Activity-of-the-novel-KIF18A,,,2025,AACR,
CF10 displays improved activity relative to 5-FU in a mouse CRLM model under conditions of physiological folate,,https://aacrjournals.org/cancerres/article/85/8_Supplement_2/LB184/761517/Abstract-LB184-CF10-displays-improved-activity,,,2025,AACR,
"Expanding the TEAD therapeutic potential with degraders: In vitro sensitivity, predictive biomarkers, and in vivo efficacy",,https://aacrjournals.org/cancerres/article/85/8_Supplement_2/LB238/761787/Abstract-LB238-Expanding-the-TEAD-therapeutic,,,2025,AACR,
"XL495 is a potent, selective, and orally bioavailable inhibitor of PKMYT1",,https://aacrjournals.org/cancerres/article/85/8_Supplement_1/1733/756159/Abstract-1733-XL495-is-a-potent-selective-and,,,2025,AACR,
"Patient selection, target engagement and pharmacodynamic markers of WRN inhibitor GSK4418959 (IDE275)",,https://aacrjournals.org/cancerres/article/85/8_Supplement_1/6393/760253/Abstract-6393-Patient-selection-target-engagement,,,2025,AACR,
A phenotypic screening method identifies a potent anti-cancer PROTAC targeting MAP3K1,,https://aacrjournals.org/cancerres/article/85/8_Supplement_1/7023/759210/Abstract-7023-A-phenotypic-screening-method,,,2025,AACR,
Unraveling determinants of drug response: PRISM viability profiling of hundreds of oncology therapeutics reveals mediators of selectivity and mechanism,Rees MG,https://aacrjournals.org/cancerres/article/86/7_Supplement/2930/777513/Abstract-2930-Unraveling-determinants-of-drug,https://assets.clue.io/aacr/posters/2026_OncRef_Poster_AACR.pdf,,2026,AACR,1
Expanding the PRISM platform: Addition of new hematologic models and a 10-day assay improve drug sensitivity mapping for epigenetic targets,Harrington C,https://aacrjournals.org/cancerres/article/86/7_Supplement/4502/777430/Abstract-4502-Expanding-the-PRISM-platform,https://assets.clue.io/aacr/posters/2026_Heme-Extended_Poster_AACR.pdf,,2026,AACR,
Beyond viability: Post-treatment single-cell and spatial transcriptomic profiling in mixtures of PRISM barcoded cancer cell lines,Doherty L,https://aacrjournals.org/cancerres/article/86/7_Supplement/4502/777430/Abstract-4502-Expanding-the-PRISM-platform,https://assets.clue.io/aacr/posters/2026_Single-cell_Poster_AACR.pdf,,2026,AACR,
PRISM AIR: a high-throughput platform for ADC target validation and antibody candidate prioritization,Eskra J,,,https://assets.clue.io/aacr/presentations/AIR_Talk_AACR_2026.pdf,2026,AACR,
